snpId;chromosome;position;DSI;DPI;diseaseId;diseaseName;diseaseType;diseaseClass;diseaseSemanticType;score;EI;YearInitial;YearFinal;pmid;source
rs1007837;11;78230030;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2007;2007;17553421;GWASDB
rs10085109;5;180633804;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2013;2013;23490417;BEFREE
rs1010159;11;121612692;878;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2009;2016;19584446;BEFREE
rs1010159;11;121612692;878;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2009;2016;25881907;BEFREE
rs1010159;11;121612692;878;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2009;2016;19368828;BEFREE
rs10119;19;44903416;923;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2013;19734903;GWASDB
rs10119;19;44903416;923;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2013;22832961;GWASDB
rs10119;19;44903416;923;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2013;21460841;GWASDB
rs10137185;14;64309058;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2014;2014;24326520;BEFREE
rs10173717;2;110225473;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2013;2013;22710270;BEFREE
rs10197851;2;10345283;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2011;2011;21059989;BEFREE
rs1020004;7;12216152;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2015;2015;25114081;BEFREE
rs1026254;11;60262984;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs1026255;11;60262476;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs1033301;2;17592731;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2013;2013;22005930;GWASDB
rs1038025;19;44901715;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2013;2013;23565137;GWASDB
rs1038026;19;44901805;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2013;2013;23565137;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;21627779;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;22832961;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;19136949;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;21379329;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;19734903;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;20885792;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;21460841;GWASDB
rs10402271;19;44825957;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2009;2015;24755620;GWASDB
rs10405693;19;44823407;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2015;2015;24755620;GWASDB
rs10410544;19;38894892;878;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2013;2015;22651940;BEFREE
rs10410544;19;38894892;878;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2013;2015;23712749;BEFREE
rs10410544;19;38894892;878;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2013;2015;24497179;BEFREE
rs10415983;19;45208340;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs10416371;19;45156878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2013;21460841;GWASDB
rs10416371;19;45156878;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2013;22832961;GWASDB
rs1042114;1;28812463;821;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;26402014;BEFREE
rs10422797;19;45222848;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21379329;GWASDB
rs1047552;15;63305658;923;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2008;2008;17466415;BEFREE
rs1047552;15;63305658;923;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2008;2008;18987747;BEFREE
rs1048218;11;27658340;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2008;2008;18780967;BEFREE
rs1048699;19;45147128;923;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs104893751;3;9750423;846;214;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;0;2009;2009;19630534;BEFREE
rs104893875;4;89828170;756;107;C1851958;Lewy Body Variant of Alzheimer Disease;disease;"C10;F03";Disease or Syndrome;0,7;;;;;UNIPROT
rs104893877;4;89828149;679;25;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;0;1998;1998;9743579;BEFREE
rs104893877;4;89828149;679;25;C1851958;Lewy Body Variant of Alzheimer Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2000;2000;10934251;BEFREE
rs104893878;4;89835580;744;179;C1851958;Lewy Body Variant of Alzheimer Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2000;2000;10934251;BEFREE
rs1049296;3;133775510;923;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2010;2010;20029940;BEFREE
rs10498633;14;92460608;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2016;24162737;GWASDB
rs10498633;14;92460608;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2016;25778476;GWASCAT
rs10498633;14;92460608;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2016;24162737;GWASCAT
rs10501602;11;85970346;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2013;2013;22832961;GWASDB
rs1050283;12;10159690;923;107;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2012;2012;21709374;BEFREE
rs1050565;17;30249058;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2008;2008;17854420;BEFREE
rs1052133;3;9757089;533;643;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2009;2009;19630534;BEFREE
rs10524523;19;44899792;784;179;C0276496;Familial Alzheimer Disease (FAD);disease;"C10;F03";Disease or Syndrome;0,01;1;2014;2014;23792692;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;25500937;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;22008263;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;28549947;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;23333464;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;25862420;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;20029386;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;23792692;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;24439168;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;24103330;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;24260406;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;22869155;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;21784354;BEFREE
rs10524523;19;44899792;784;179;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,07;1;2011;2016;21825236;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;23183136;BEFREE
rs10524523;19;44899792;784;179;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,08;875;2012;2018;22359560;BEFREE
rs1060620;12;6535556;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2009;2009;18340469;BEFREE
rs1060743;2;127068957;1;71;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;1;2014;2014;24582639;BEFREE
rs1061170;1;196690107;575;607;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2008;2016;18433936;BEFREE
rs1061170;1;196690107;575;607;C0494463;Alzheimer Disease, Late Onset;disease;"C10;F03";Mental or Behavioral Dysfunction;0,01;0;2008;2008;17999207;BEFREE
rs1061170;1;196690107;575;607;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2008;2016;18163432;BEFREE
rs1061170;1;196690107;575;607;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2008;2016;26243271;BEFREE
rs1061472;13;51950352;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2012;2013;22356903;BEFREE
rs1061472;13;51950352;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2012;2013;22565015;BEFREE
rs1061472;13;51950352;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,03;1;2012;2013;22950421;BEFREE
rs1064039;20;23637790;846;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2008;2015;25893795;BEFREE
rs1064039;20;23637790;846;143;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2008;2015;18408364;BEFREE
rs1065778;15;51228009;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2015;2015;23736221;BEFREE
rs10735810;12;47879112;692;357;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;26093050;BEFREE
rs10751667;11;941941;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASDB
rs10751667;11;941941;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASCAT
rs10752637;1;160342475;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2010;2010;19840113;BEFREE
rs10770042;11;9585485;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2016;2016;25649652;BEFREE
rs10792263;11;60312178;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,7;;2011;2011;21460841;GWASDB
rs10792832;11;86156833;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2011;2014;24162737;GWASDB
rs10792832;11;86156833;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2011;2014;21460841;GWASDB
rs10792832;11;86156833;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2011;2014;24162737;GWASCAT
rs10793294;11;78285357;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,71;0;2007;2011;17553421;GWASDB
rs10793294;11;78285357;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,71;0;2007;2011;21460841;GWASDB
rs10793294;11;78285357;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,71;0;2007;2011;21108942;BEFREE
rs10807287;6;43254171;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,01;1;2011;2011;20096481;BEFREE
rs1080985;22;42132375;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2009;2013;22465999;BEFREE
rs1080985;22;42132375;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,02;1;2009;2013;19738170;BEFREE
rs10838725;11;47536319;1;71;C0002395;Alzheimer's Disease;disease;"C10;F03";Disease or Syndrome;0,8;;2014;2014;24162737;GWASCAT
