DATE ADDED TO CATALOG;PUBMEDID;FIRST AUTHOR;DATE;JOURNAL;LINK;STUDY;DISEASE/TRAIT;INITIAL SAMPLE SIZE;REPLICATION SAMPLE SIZE;REGION;CHR_ID;CHR_POS;REPORTED GENE(S);MAPPED_GENE;UPSTREAM_GENE_ID;DOWNSTREAM_GENE_ID;SNP_GENE_IDS;UPSTREAM_GENE_DISTANCE;DOWNSTREAM_GENE_DISTANCE;STRONGEST SNP-RISK ALLELE;SNPS;MERGED;SNP_ID_CURRENT;CONTEXT;INTERGENIC;RISK ALLELE FREQUENCY;P-VALUE;PVALUE_MLOG;P-VALUE (TEXT);OR or BETA;95% CI (TEXT);PLATFORM [SNPS PASSING QC];CNV;MAPPED_TRAIT;MAPPED_TRAIT_URI;STUDY ACCESSION;GENOTYPING TECHNOLOGY
18-12-2018;29360470;Miron J;19-01-2018;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/29360470;CDK5RAP2 gene and tau pathophysiology in late-onset sporadic Alzheimer's disease.;Late-onset Alzheimer's disease;966 Quebec (founder/genetic isolate) ancestry cases, 977 Quebec (founder/genetic isolate) controls;340 cases, 195 controls;;;;APOE;;;;;;;APOE-?;APOE;0;;;1;NR;1,00E-49;490;;;;Illumina [NR];N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST006806;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;9q21.31;9;81079667;Intergenic;AL138749.1 - RPS20P25;ENSG00000226798;ENSG00000228375;;208372;330612;rs144573434-T;rs144573434;0;144573434;regulatory_region_variant;1;0.997;0,0000005;6,30E+15;(liability model);114;[0.69-1.59] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;12q14.3;12;65859519;HMGA2;AC090673.1, HMGA2;;;ENSG00000197301, ENSG00000149948;;;rs145282773-T;rs145282773;0;145282773;non_coding_transcript_exon_variant;0;0.997;0,000002;5,70E+15;(liability model);104;[0.61-1.47] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;10q23.31;10;88850285;ANKRD22;ANKRD22;;;ENSG00000152766;;;rs147285445-T;rs147285445;0;147285445;intron_variant;0;0.998;0,000004;5,40E+16;(liability model);103;[0.6-1.46] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1p31.1;1;81589710;Intergenic;ADGRL2, AC117944.1;;;ENSG00000117114, ENSG00000236676;;;rs186891871-C;rs186891871;0;186891871;intron_variant;0;0.998;0,000009;5,05E+15;(liability model);98;[0.55-1.41] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;1q21.1;1;147483513;Intergenic;LINC00624;;;ENSG00000278811;;;rs141976661-A;rs141976661;0;141976661;intron_variant;0;0.997;0,0000005;6,30E+15;(liability model);88;[0.55-1.21] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;9q21.31;9;80903300;Intergenic;AL138749.1 - RPS20P25;ENSG00000226798;ENSG00000228375;;32005;506979;rs139638356-T;rs139638356;0;139638356;intergenic_variant;1;0.996;0,000002;5,70E+15;(liability model);83;[0.48-1.18] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;7q21.11;7;83870966;Intergenic;RAD23BP2 - SEMA3A;ENSG00000230244;ENSG00000075213;;206341;84811;rs185170954-A;rs185170954;0;185170954;intergenic_variant;1;0.997;0,000009;5,05E+15;(liability model);82;[0.47-1.17] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;3q26.2;3;169273046;MECOM;MECOM;;;ENSG00000085276;;;rs115798104-A;rs115798104;0;115798104;intron_variant;0;0.997;0,0000009;6,05E+15;(liability model);8;[0.49-1.11] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
24-03-2017;27770636;Mez J;20-10-2016;Alzheimers Dement;www.ncbi.nlm.nih.gov/pubmed/27770636;Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.;Late-onset Alzheimer's disease;1,825 African American ancestry cases, 3,784 African American ancestry controls;;8p23.1;8;6680850;Intergenic;MCPH1-AS1;;;ENSG00000249898;;;rs181696879-A;rs181696879;0;181696879;intron_variant;0;0.994;0,0000004;6,40E+16;(liability model);67;[0.42-0.92] unit decrease;NR [19725427] (imputed);N;late-onset Alzheimers disease;http://www.ebi.ac.uk/efo/EFO_1001870;GCST003815;Genome-wide genotyping array
